07558;44.1185,3.0195;712
07027;49.18,-0.456167;67
07110;48.444167,-4.412;94
07591;44.565667,6.502333;871
07015;50.57,3.0975;47
07149;48.716833,2.384333;89
07020;49.725167,-1.939833;6
07761;41.918,8.792667;5
07168;48.324667,4.02;112
07607;43.909833,-0.500167;59
07650;43.437667,5.216;9
07149;48.716833,2.384333;89
07280;47.267833,5.088333;219
07434;45.861167,1.175;402
07020;49.725167,-1.939833;6
07117;48.825833,-3.473167;55
07168;48.324667,4.02;112
07690;43.648833,7.209;2
07168;48.324667,4.02;112
07181;48.581,5.959833;336
07222;47.15,-1.608833;26
07335;46.593833,0.314333;123
07222;47.15,-1.608833;26
07650;43.437667,5.216;9
07015;50.57,3.0975;47
07280;47.267833,5.088333;219
07020;49.725167,-1.939833;6
07207;47.294333,-3.218333;34
07621;43.188,0.0;360
07747;42.737167,2.872833;42
07434;45.861167,1.175;402
07314;46.046833,-1.4115;11
07015;50.57,3.0975;47
07110;48.444167,-4.412;94
07168;48.324667,4.02;112
07222;47.15,-1.608833;26
07630;43.621,1.378833;151
07015;50.57,3.0975;47
07481;45.7265,5.077833;235
07627;43.005333,1.106833;414
07510;44.830667,-0.691333;47
07434;45.861167,1.175;402
07690;43.648833,7.209;2
07015;50.57,3.0975;47
07020;49.725167,-1.939833;6
07335;46.593833,0.314333;123
07630;43.621,1.378833;151
07314;46.046833,-1.4115;11
07207;47.294333,-3.218333;34
07510;44.830667,-0.691333;47
07577;44.581167,4.733;73
07650;43.437667,5.216;9
07240;47.4445,0.727333;108
07577;44.581167,4.733;73
07117;48.825833,-3.473167;55
07130;48.068833,-1.734;36
07149;48.716833,2.384333;89
07190;48.5495,7.640333;150
07577;44.581167,4.733;73
07627;43.005333,1.106833;414
07577;44.581167,4.733;73
07027;49.18,-0.456167;67
07621;43.188,0.0;360
07690;43.648833,7.209;2
07240;47.4445,0.727333;108
07255;47.059167,2.359833;161
07627;43.005333,1.106833;414
07005;50.136,1.834;69
07149;48.716833,2.384333;89
07314;46.046833,-1.4115;11
07460;45.786833,3.149333;331
07510;44.830667,-0.691333;47
07471;45.0745,3.764;833
07149;48.716833,2.384333;89
07299;47.614333,7.51;263
07607;43.909833,-0.500167;59
07027;49.18,-0.456167;67
07255;47.059167,2.359833;161
07510;44.830667,-0.691333;47
07222;47.15,-1.608833;26
07299;47.614333,7.51;263
07630;43.621,1.378833;151
07747;42.737167,2.872833;42
07790;42.540667,9.485167;10
07207;47.294333,-3.218333;34
07280;47.267833,5.088333;219
07335;46.593833,0.314333;123
07607;43.909833,-0.500167;59
07005;50.136,1.834;69
07207;47.294333,-3.218333;34
07255;47.059167,2.359833;161
07790;42.540667,9.485167;10
07299;47.614333,7.51;263
07510;44.830667,-0.691333;47
07207;47.294333,-3.218333;34
07790;42.540667,9.485167;10
07130;48.068833,-1.734;36
07240;47.4445,0.727333;108
07643;43.577,3.963167;2
07434;45.861167,1.175;402
07471;45.0745,3.764;833
07222;47.15,-1.608833;26
07661;43.079333,5.940833;115
07190;48.5495,7.640333;150
07621;43.188,0.0;360
07577;44.581167,4.733;73
07314;46.046833,-1.4115;11
07481;45.7265,5.077833;235
07027;49.18,-0.456167;67
07207;47.294333,-3.218333;34
07510;44.830667,-0.691333;47
07630;43.621,1.378833;151
07027;49.18,-0.456167;67
07181;48.581,5.959833;336
07222;47.15,-1.608833;26
07650;43.437667,5.216;9
07139;48.4455,0.110167;143
07335;46.593833,0.314333;123
07471;45.0745,3.764;833
07130;48.068833,-1.734;36
07015;50.57,3.0975;47
07790;42.540667,9.485167;10
07117;48.825833,-3.473167;55
07434;45.861167,1.175;402
07790;42.540667,9.485167;10
07020;49.725167,-1.939833;6
07535;44.745,1.396667;260
07027;49.18,-0.456167;67
07690;43.648833,7.209;2
07577;44.581167,4.733;73
07481;45.7265,5.077833;235
07037;49.383,1.181667;151
07661;43.079333,5.940833;115
07130;48.068833,-1.734;36
07139;48.4455,0.110167;143
07015;50.57,3.0975;47
07460;45.786833,3.149333;331
07005;50.136,1.834;69
07110;48.444167,-4.412;94
07434;45.861167,1.175;402
07607;43.909833,-0.500167;59
07130;48.068833,-1.734;36
07747;42.737167,2.872833;42
07240;47.4445,0.727333;108
07207;47.294333,-3.218333;34
07607;43.909833,-0.500167;59
07139;48.4455,0.110167;143
07181;48.581,5.959833;336
07280;47.267833,5.088333;219
07481;45.7265,5.077833;235
07510;44.830667,-0.691333;47
07577;44.581167,4.733;73
07690;43.648833,7.209;2
07037;49.383,1.181667;151
07299;47.614333,7.51;263
07621;43.188,0.0;360
07005;50.136,1.834;69
07335;46.593833,0.314333;123
07015;50.57,3.0975;47
07510;44.830667,-0.691333;47
07117;48.825833,-3.473167;55
07577;44.581167,4.733;73
07005;50.136,1.834;69
07535;44.745,1.396667;260
07558;44.1185,3.0195;712
07335;46.593833,0.314333;123
07130;48.068833,-1.734;36
07591;44.565667,6.502333;871
07643;43.577,3.963167;2
07117;48.825833,-3.473167;55
07139;48.4455,0.110167;143
07255;47.059167,2.359833;161
07690;43.648833,7.209;2
07299;47.614333,7.51;263
07510;44.830667,-0.691333;47
07621;43.188,0.0;360
07168;48.324667,4.02;112
07314;46.046833,-1.4115;11
07535;44.745,1.396667;260
07558;44.1185,3.0195;712
07222;47.15,-1.608833;26
07005;50.136,1.834;69
07471;45.0745,3.764;833
07510;44.830667,-0.691333;47
07335;46.593833,0.314333;123
07181;48.581,5.959833;336
07607;43.909833,-0.500167;59
07627;43.005333,1.106833;414
07690;43.648833,7.209;2
07607;43.909833,-0.500167;59
07607;43.909833,-0.500167;59
07117;48.825833,-3.473167;55
07558;44.1185,3.0195;712
07661;43.079333,5.940833;115
07037;49.383,1.181667;151
07335;46.593833,0.314333;123
07434;45.861167,1.175;402
07630;43.621,1.378833;151
07335;46.593833,0.314333;123
07190;48.5495,7.640333;150
