07558;2010-01-05T10:00:00+01:00;100;44.1185,3.0195
61976;2010-01-05T10:00:00+01:00;69;-15.887667,54.520667
07027;2010-01-05T13:00:00+01:00;87;49.18,-0.456167
07110;2010-01-05T13:00:00+01:00;73;48.444167,-4.412
07591;2010-01-05T13:00:00+01:00;67;44.565667,6.502333
71805;2010-01-05T13:00:00+01:00;99;46.766333,-56.179167
78925;2010-01-05T13:00:00+01:00;83;14.595333,-60.995667
07015;2010-01-05T16:00:00+01:00;78;50.57,3.0975
07149;2010-01-05T16:00:00+01:00;69;48.716833,2.384333
81408;2010-01-05T16:00:00+01:00;69;3.890667,-51.804667
89642;2010-01-05T16:00:00+01:00;67;-66.663167,140.001
07020;2010-01-05T19:00:00+01:00;85;49.725167,-1.939833
07761;2010-01-05T19:00:00+01:00;94;41.918,8.792667
81405;2010-01-05T19:00:00+01:00;73;4.822333,-52.365333
07168;2010-01-05T22:00:00+01:00;85;48.324667,4.02
07607;2010-01-05T22:00:00+01:00;92;43.909833,-0.500167
07650;2010-01-05T22:00:00+01:00;91;43.437667,5.216
71805;2010-01-05T22:00:00+01:00;100;46.766333,-56.179167
07149;2010-01-06T01:00:00+01:00;94;48.716833,2.384333
61972;2010-01-06T01:00:00+01:00;;-22.344167,40.340667
07280;2010-01-06T04:00:00+01:00;91;47.267833,5.088333
07434;2010-01-06T04:00:00+01:00;96;45.861167,1.175
61976;2010-01-06T04:00:00+01:00;77;-15.887667,54.520667
07020;2010-01-06T07:00:00+01:00;95;49.725167,-1.939833
07117;2010-01-06T07:00:00+01:00;67;48.825833,-3.473167
07168;2010-01-06T07:00:00+01:00;89;48.324667,4.02
07690;2010-01-06T07:00:00+01:00;74;43.648833,7.209
61970;2010-01-06T07:00:00+01:00;68;-17.054667,42.712
71805;2010-01-06T07:00:00+01:00;100;46.766333,-56.179167
07168;2010-01-06T10:00:00+01:00;86;48.324667,4.02
07181;2010-01-06T10:00:00+01:00;90;48.581,5.959833
07222;2010-01-07T13:00:00+01:00;82;47.15,-1.608833
07335;2010-01-07T13:00:00+01:00;83;46.593833,0.314333
07222;2010-01-07T16:00:00+01:00;63;47.15,-1.608833
07650;2010-01-07T16:00:00+01:00;50;43.437667,5.216
61972;2010-01-07T19:00:00+01:00;;-22.344167,40.340667
07015;2010-01-07T22:00:00+01:00;88;50.57,3.0975
07280;2010-01-07T22:00:00+01:00;97;47.267833,5.088333
81405;2010-01-07T22:00:00+01:00;76;4.822333,-52.365333
07020;2010-01-08T01:00:00+01:00;77;49.725167,-1.939833
07207;2010-01-08T01:00:00+01:00;81;47.294333,-3.218333
07621;2010-01-08T01:00:00+01:00;95;43.188,0.0
07747;2010-01-08T01:00:00+01:00;87;42.737167,2.872833
07434;2010-01-08T04:00:00+01:00;91;45.861167,1.175
61998;2010-01-08T04:00:00+01:00;78;-49.352333,70.243333
07314;2010-01-08T07:00:00+01:00;87;46.046833,-1.4115
07015;2010-01-08T13:00:00+01:00;83;50.57,3.0975
07110;2010-01-06T13:00:00+01:00;83;48.444167,-4.412
07168;2010-01-06T16:00:00+01:00;84;48.324667,4.02
07222;2010-01-06T16:00:00+01:00;84;47.15,-1.608833
07630;2010-01-06T16:00:00+01:00;70;43.621,1.378833
07015;2010-01-06T19:00:00+01:00;77;50.57,3.0975
07481;2010-01-06T19:00:00+01:00;76;45.7265,5.077833
07627;2010-01-06T22:00:00+01:00;78;43.005333,1.106833
07510;2010-01-07T01:00:00+01:00;97;44.830667,-0.691333
78925;2010-01-07T01:00:00+01:00;80;14.595333,-60.995667
81408;2010-01-07T01:00:00+01:00;90;3.890667,-51.804667
78925;2010-01-07T04:00:00+01:00;84;14.595333,-60.995667
07434;2010-01-07T07:00:00+01:00;100;45.861167,1.175
07690;2010-01-07T07:00:00+01:00;58;43.648833,7.209
07015;2010-01-04T07:00:00+01:00;91;50.57,3.0975
07020;2010-01-04T07:00:00+01:00;66;49.725167,-1.939833
07335;2010-01-04T07:00:00+01:00;89;46.593833,0.314333
07630;2010-01-04T07:00:00+01:00;94;43.621,1.378833
07314;2010-01-04T10:00:00+01:00;83;46.046833,-1.4115
61980;2010-01-04T13:00:00+01:00;82;-20.8925,55.528667
61996;2010-01-04T13:00:00+01:00;99;-37.795167,77.569167
71805;2010-01-04T16:00:00+01:00;100;46.766333,-56.179167
07207;2010-01-04T19:00:00+01:00;50;47.294333,-3.218333
07510;2010-01-04T19:00:00+01:00;84;44.830667,-0.691333
07577;2010-01-04T19:00:00+01:00;94;44.581167,4.733
07650;2010-01-04T19:00:00+01:00;82;43.437667,5.216
61972;2010-01-04T19:00:00+01:00;;-22.344167,40.340667
07240;2010-01-04T22:00:00+01:00;81;47.4445,0.727333
07577;2010-01-04T22:00:00+01:00;90;44.581167,4.733
07117;2010-01-05T01:00:00+01:00;65;48.825833,-3.473167
07130;2010-01-05T01:00:00+01:00;84;48.068833,-1.734
07149;2010-01-05T01:00:00+01:00;90;48.716833,2.384333
07190;2010-01-05T01:00:00+01:00;78;48.5495,7.640333
07577;2010-01-05T01:00:00+01:00;82;44.581167,4.733
07627;2010-01-05T01:00:00+01:00;98;43.005333,1.106833
78897;2010-01-05T01:00:00+01:00;81;16.264,-61.516333
07577;2010-01-05T04:00:00+01:00;82;44.581167,4.733
61980;2010-01-05T07:00:00+01:00;79;-20.8925,55.528667
67005;2010-01-05T07:00:00+01:00;72;-12.8055,45.282833
67005;2010-03-02T01:00:00+01:00;94;-12.8055,45.282833
07027;2010-03-02T04:00:00+01:00;93;49.18,-0.456167
78922;2010-03-02T04:00:00+01:00;81;14.7745,-60.875333
07621;2010-03-02T07:00:00+01:00;77;43.188,0.0
07690;2010-03-02T10:00:00+01:00;41;43.648833,7.209
61997;2010-03-02T10:00:00+01:00;81;-46.4325,51.856667
07240;2010-03-02T13:00:00+01:00;79;47.4445,0.727333
07255;2010-03-02T13:00:00+01:00;66;47.059167,2.359833
07627;2010-03-02T16:00:00+01:00;42;43.005333,1.106833
07005;2010-03-02T19:00:00+01:00;70;50.136,1.834
07149;2010-03-02T19:00:00+01:00;53;48.716833,2.384333
07314;2010-03-02T22:00:00+01:00;86;46.046833,-1.4115
07460;2010-03-02T22:00:00+01:00;76;45.786833,3.149333
07510;2010-03-02T22:00:00+01:00;59;44.830667,-0.691333
78897;2010-03-02T22:00:00+01:00;68;16.264,-61.516333
07471;2010-03-03T01:00:00+01:00;86;45.0745,3.764
61980;2010-03-03T01:00:00+01:00;86;-20.8925,55.528667
61996;2010-02-28T22:00:00+01:00;92;-37.795167,77.569167
81408;2010-02-28T22:00:00+01:00;73;3.890667,-51.804667
07149;2010-03-01T01:00:00+01:00;83;48.716833,2.384333
07299;2010-03-01T01:00:00+01:00;74;47.614333,7.51
07607;2010-03-01T01:00:00+01:00;86;43.909833,-0.500167
61972;2010-03-01T01:00:00+01:00;;-22.344167,40.340667
07027;2010-03-01T04:00:00+01:00;93;49.18,-0.456167
07255;2010-03-01T10:00:00+01:00;86;47.059167,2.359833
07510;2010-03-01T10:00:00+01:00;78;44.830667,-0.691333
07222;2010-03-01T16:00:00+01:00;94;47.15,-1.608833
07299;2010-03-01T16:00:00+01:00;45;47.614333,7.51
07630;2010-03-01T16:00:00+01:00;45;43.621,1.378833
07747;2010-03-01T16:00:00+01:00;43;42.737167,2.872833
07790;2010-03-01T16:00:00+01:00;91;42.540667,9.485167
07207;2010-03-01T19:00:00+01:00;91;47.294333,-3.218333
07280;2010-03-01T19:00:00+01:00;64;47.267833,5.088333
07335;2010-03-01T19:00:00+01:00;87;46.593833,0.314333
07607;2010-03-01T19:00:00+01:00;49;43.909833,-0.500167
07005;2010-03-01T22:00:00+01:00;89;50.136,1.834
07207;2010-03-01T22:00:00+01:00;94;47.294333,-3.218333
07255;2010-03-01T22:00:00+01:00;93;47.059167,2.359833
61976;2010-03-01T22:00:00+01:00;83;-15.887667,54.520667
81401;2010-03-01T22:00:00+01:00;96;5.4855,-54.031667
07790;2010-02-27T22:00:00+01:00;89;42.540667,9.485167
61980;2010-02-27T22:00:00+01:00;77;-20.8925,55.528667
61976;2010-02-28T01:00:00+01:00;94;-15.887667,54.520667
07299;2010-02-28T04:00:00+01:00;67;47.614333,7.51
89642;2010-02-28T04:00:00+01:00;32;-66.663167,140.001
07510;2010-02-28T07:00:00+01:00;82;44.830667,-0.691333
07207;2010-02-28T10:00:00+01:00;80;47.294333,-3.218333
07790;2010-02-28T10:00:00+01:00;73;42.540667,9.485167
07130;2010-02-28T13:00:00+01:00;72;48.068833,-1.734
07240;2010-02-28T16:00:00+01:00;48;47.4445,0.727333
07643;2010-02-28T16:00:00+01:00;38;43.577,3.963167
07434;2010-02-28T19:00:00+01:00;79;45.861167,1.175
07471;2010-02-28T19:00:00+01:00;65;45.0745,3.764
61970;2010-02-28T19:00:00+01:00;90;-17.054667,42.712
07222;2010-02-23T16:00:00+01:00;70;47.15,-1.608833
07661;2010-02-23T16:00:00+01:00;87;43.079333,5.940833
07190;2010-02-23T22:00:00+01:00;85;48.5495,7.640333
07621;2010-02-23T22:00:00+01:00;74;43.188,0.0
07577;2010-02-24T01:00:00+01:00;96;44.581167,4.733
07314;2010-02-24T04:00:00+01:00;88;46.046833,-1.4115
07481;2010-02-24T04:00:00+01:00;84;45.7265,5.077833
61997;2010-02-24T04:00:00+01:00;92;-46.4325,51.856667
07027;2010-02-24T07:00:00+01:00;91;49.18,-0.456167
07207;2010-02-24T07:00:00+01:00;83;47.294333,-3.218333
07510;2010-02-24T07:00:00+01:00;79;44.830667,-0.691333
07630;2010-02-24T10:00:00+01:00;61;43.621,1.378833
61970;2010-02-24T10:00:00+01:00;70;-17.054667,42.712
61997;2010-02-24T10:00:00+01:00;81;-46.4325,51.856667
81415;2010-02-24T10:00:00+01:00;100;3.640167,-54.028333
61972;2010-02-24T13:00:00+01:00;;-22.344167,40.340667
07027;2010-02-24T16:00:00+01:00;87;49.18,-0.456167
07181;2010-02-24T16:00:00+01:00;77;48.581,5.959833
67005;2010-02-24T16:00:00+01:00;75;-12.8055,45.282833
71805;2010-02-24T16:00:00+01:00;95;46.766333,-56.179167
07222;2010-02-24T22:00:00+01:00;89;47.15,-1.608833
61968;2010-02-24T22:00:00+01:00;98;-11.582667,47.289667
07650;2010-02-25T01:00:00+01:00;92;43.437667,5.216
81405;2010-02-25T01:00:00+01:00;89;4.822333,-52.365333
61997;2010-02-25T04:00:00+01:00;83;-46.4325,51.856667
61970;2010-02-25T07:00:00+01:00;76;-17.054667,42.712
78897;2010-02-25T07:00:00+01:00;91;16.264,-61.516333
07139;2010-02-25T10:00:00+01:00;96;48.4455,0.110167
07335;2010-02-25T10:00:00+01:00;96;46.593833,0.314333
07471;2010-02-25T10:00:00+01:00;80;45.0745,3.764
07130;2010-02-25T13:00:00+01:00;84;48.068833,-1.734
78925;2010-02-25T13:00:00+01:00;83;14.595333,-60.995667
81408;2010-02-25T13:00:00+01:00;95;3.890667,-51.804667
07015;2010-02-25T16:00:00+01:00;87;50.57,3.0975
07790;2010-02-25T16:00:00+01:00;69;42.540667,9.485167
07117;2010-02-25T19:00:00+01:00;79;48.825833,-3.473167
07434;2010-02-25T19:00:00+01:00;93;45.861167,1.175
07790;2010-02-25T22:00:00+01:00;94;42.540667,9.485167
61972;2010-02-26T01:00:00+01:00;;-22.344167,40.340667
67005;2010-02-26T04:00:00+01:00;96;-12.8055,45.282833
67005;2010-02-26T07:00:00+01:00;78;-12.8055,45.282833
78897;2010-02-26T07:00:00+01:00;94;16.264,-61.516333
07020;2010-02-26T10:00:00+01:00;75;49.725167,-1.939833
07535;2010-02-26T10:00:00+01:00;83;44.745,1.396667
07027;2010-02-26T13:00:00+01:00;64;49.18,-0.456167
07690;2010-02-26T13:00:00+01:00;28;43.648833,7.209
71805;2010-02-26T19:00:00+01:00;91;46.766333,-56.179167
07577;2010-02-26T22:00:00+01:00;61;44.581167,4.733
81408;2010-02-26T22:00:00+01:00;74;3.890667,-51.804667
07481;2010-02-27T01:00:00+01:00;74;45.7265,5.077833
61997;2010-02-27T04:00:00+01:00;97;-46.4325,51.856667
07037;2010-02-27T07:00:00+01:00;99;49.383,1.181667
07661;2010-02-27T07:00:00+01:00;50;43.079333,5.940833
07130;2010-02-27T10:00:00+01:00;78;48.068833,-1.734
07139;2010-02-27T10:00:00+01:00;86;48.4455,0.110167
78897;2010-02-27T10:00:00+01:00;96;16.264,-61.516333
07015;2010-02-27T16:00:00+01:00;52;50.57,3.0975
07460;2010-02-27T19:00:00+01:00;72;45.786833,3.149333
67005;2010-02-27T19:00:00+01:00;84;-12.8055,45.282833
61980;2010-02-22T13:00:00+01:00;70;-20.8925,55.528667
