ID OMM station;Date;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
07558;2010-01-05T10:00:00+01:00;260;1.5;44.1185,3.0195            
61976;2010-01-05T10:00:00+01:00;;;-15.887667,54.520667            
07027;2010-01-05T13:00:00+01:00;200;3.6;49.18,-0.456167            
07110;2010-01-05T13:00:00+01:00;210;4.1;48.444167,-4.412            
07591;2010-01-05T13:00:00+01:00;;;44.565667,6.502333            
71805;2010-01-05T13:00:00+01:00;210;9.8;46.766333,-56.179167            
78925;2010-01-05T13:00:00+01:00;30;0.5;14.595333,-60.995667            
07015;2010-01-05T16:00:00+01:00;190;1.5;50.57,3.0975            
07149;2010-01-05T16:00:00+01:00;10;2.6;48.716833,2.384333            
81408;2010-01-05T16:00:00+01:00;80;4.1;3.890667,-51.804667            
89642;2010-01-05T16:00:00+01:00;120;4.1;-66.663167,140.001            
07020;2010-01-05T19:00:00+01:00;200;11.8;49.725167,-1.939833            
07761;2010-01-05T19:00:00+01:00;60;1.5;41.918,8.792667            
81405;2010-01-05T19:00:00+01:00;100;6.2;4.822333,-52.365333            
07168;2010-01-05T22:00:00+01:00;320;2.1;48.324667,4.02            
07607;2010-01-05T22:00:00+01:00;0;0.0;43.909833,-0.500167            
07650;2010-01-05T22:00:00+01:00;350;2.1;43.437667,5.216            
71805;2010-01-05T22:00:00+01:00;230;7.2;46.766333,-56.179167            
07149;2010-01-06T01:00:00+01:00;230;1.0;48.716833,2.384333            
61972;2010-01-06T01:00:00+01:00;150;5.1;-22.344167,40.340667            
07280;2010-01-06T04:00:00+01:00;180;2.1;47.267833,5.088333            
07434;2010-01-06T04:00:00+01:00;220;3.6;45.861167,1.175            
61976;2010-01-06T04:00:00+01:00;;;-15.887667,54.520667            
07020;2010-01-06T07:00:00+01:00;10;6.7;49.725167,-1.939833            
07117;2010-01-06T07:00:00+01:00;310;6.2;48.825833,-3.473167            
07168;2010-01-06T07:00:00+01:00;0;0.0;48.324667,4.02            
07690;2010-01-06T07:00:00+01:00;330;4.6;43.648833,7.209            
61970;2010-01-06T07:00:00+01:00;170;2.1;-17.054667,42.712            
71805;2010-01-06T07:00:00+01:00;210;7.2;46.766333,-56.179167            
07168;2010-01-06T10:00:00+01:00;160;1.0;48.324667,4.02            
07181;2010-01-06T10:00:00+01:00;260;1.0;48.581,5.959833            
07222;2010-01-07T13:00:00+01:00;10;3.1;47.15,-1.608833            
07335;2010-01-07T13:00:00+01:00;340;3.6;46.593833,0.314333            
07222;2010-01-07T16:00:00+01:00;20;5.1;47.15,-1.608833            
07650;2010-01-07T16:00:00+01:00;40;3.1;43.437667,5.216            
61972;2010-01-07T19:00:00+01:00;160;8.2;-22.344167,40.340667            
07015;2010-01-07T22:00:00+01:00;80;1.0;50.57,3.0975            
07280;2010-01-07T22:00:00+01:00;360;2.6;47.267833,5.088333            
81405;2010-01-07T22:00:00+01:00;70;2.1;4.822333,-52.365333            
07020;2010-01-08T01:00:00+01:00;20;10.3;49.725167,-1.939833            
07207;2010-01-08T01:00:00+01:00;30;2.6;47.294333,-3.218333            
07621;2010-01-08T01:00:00+01:00;30;2.6;43.188,0.0            
07747;2010-01-08T01:00:00+01:00;310;5.7;42.737167,2.872833            
07434;2010-01-08T04:00:00+01:00;40;5.1;45.861167,1.175            
61998;2010-01-08T04:00:00+01:00;240;2.1;-49.352333,70.243333            
07314;2010-01-08T07:00:00+01:00;10;8.7;46.046833,-1.4115            
07015;2010-01-08T13:00:00+01:00;60;7.2;50.57,3.0975            
07110;2010-01-06T13:00:00+01:00;350;7.7;48.444167,-4.412            
07168;2010-01-06T16:00:00+01:00;150;2.1;48.324667,4.02            
07222;2010-01-06T16:00:00+01:00;210;4.1;47.15,-1.608833            
07630;2010-01-06T16:00:00+01:00;300;4.1;43.621,1.378833            
07015;2010-01-06T19:00:00+01:00;160;1.5;50.57,3.0975            
07481;2010-01-06T19:00:00+01:00;160;1.5;45.7265,5.077833            
07627;2010-01-06T22:00:00+01:00;160;2.6;43.005333,1.106833            
07510;2010-01-07T01:00:00+01:00;180;3.6;44.830667,-0.691333            
78925;2010-01-07T01:00:00+01:00;40;2.1;14.595333,-60.995667            
81408;2010-01-07T01:00:00+01:00;330;1.0;3.890667,-51.804667            
78925;2010-01-07T04:00:00+01:00;20;0.5;14.595333,-60.995667            
07434;2010-01-07T07:00:00+01:00;220;4.1;45.861167,1.175            
07690;2010-01-07T07:00:00+01:00;320;6.2;43.648833,7.209            
07015;2010-01-04T07:00:00+01:00;260;0.5;50.57,3.0975            
07020;2010-01-04T07:00:00+01:00;120;4.6;49.725167,-1.939833            
07335;2010-01-04T07:00:00+01:00;40;4.6;46.593833,0.314333            
07630;2010-01-04T07:00:00+01:00;170;1.5;43.621,1.378833            
07314;2010-01-04T10:00:00+01:00;50;10.8;46.046833,-1.4115            
61980;2010-01-04T13:00:00+01:00;90;3.1;-20.8925,55.528667            
61996;2010-01-04T13:00:00+01:00;270;9.8;-37.795167,77.569167            
71805;2010-01-04T16:00:00+01:00;260;6.2;46.766333,-56.179167            
07207;2010-01-04T19:00:00+01:00;70;9.8;47.294333,-3.218333            
07510;2010-01-04T19:00:00+01:00;10;5.1;44.830667,-0.691333            
07577;2010-01-04T19:00:00+01:00;10;4.1;44.581167,4.733            
07650;2010-01-04T19:00:00+01:00;80;5.1;43.437667,5.216            
61972;2010-01-04T19:00:00+01:00;170;4.1;-22.344167,40.340667            
07240;2010-01-04T22:00:00+01:00;60;4.6;47.4445,0.727333            
07577;2010-01-04T22:00:00+01:00;10;5.7;44.581167,4.733            
07117;2010-01-05T01:00:00+01:00;140;3.6;48.825833,-3.473167            
07130;2010-01-05T01:00:00+01:00;30;1.5;48.068833,-1.734            
07149;2010-01-05T01:00:00+01:00;80;1.0;48.716833,2.384333            
07190;2010-01-05T01:00:00+01:00;20;4.1;48.5495,7.640333            
07577;2010-01-05T01:00:00+01:00;360;5.7;44.581167,4.733            
07627;2010-01-05T01:00:00+01:00;0;0.0;43.005333,1.106833            
78897;2010-01-05T01:00:00+01:00;20;0.5;16.264,-61.516333            
07577;2010-01-05T04:00:00+01:00;10;5.7;44.581167,4.733            
61980;2010-01-05T07:00:00+01:00;70;1.0;-20.8925,55.528667            
67005;2010-01-05T07:00:00+01:00;310;7.2;-12.8055,45.282833            
67005;2010-03-02T01:00:00+01:00;0;0.0;-12.8055,45.282833            
07027;2010-03-02T04:00:00+01:00;30;1.0;49.18,-0.456167            
78922;2010-03-02T04:00:00+01:00;140;7.2;14.7745,-60.875333            
07621;2010-03-02T07:00:00+01:00;170;2.6;43.188,0.0            
07690;2010-03-02T10:00:00+01:00;300;1.5;43.648833,7.209            
61997;2010-03-02T10:00:00+01:00;310;17.0;-46.4325,51.856667            
07240;2010-03-02T13:00:00+01:00;40;4.1;47.4445,0.727333            
07255;2010-03-02T13:00:00+01:00;290;1.5;47.059167,2.359833            
07627;2010-03-02T16:00:00+01:00;60;3.1;43.005333,1.106833            
07005;2010-03-02T19:00:00+01:00;30;2.6;50.136,1.834            
07149;2010-03-02T19:00:00+01:00;60;4.6;48.716833,2.384333            
07314;2010-03-02T22:00:00+01:00;70;5.1;46.046833,-1.4115            
07460;2010-03-02T22:00:00+01:00;340;0.5;45.786833,3.149333            
07510;2010-03-02T22:00:00+01:00;60;4.1;44.830667,-0.691333            
78897;2010-03-02T22:00:00+01:00;120;5.7;16.264,-61.516333            
07471;2010-03-03T01:00:00+01:00;0;0.0;45.0745,3.764            
61980;2010-03-03T01:00:00+01:00;170;4.6;-20.8925,55.528667            
61996;2010-02-28T22:00:00+01:00;330;6.2;-37.795167,77.569167            
81408;2010-02-28T22:00:00+01:00;30;2.1;3.890667,-51.804667            
07149;2010-03-01T01:00:00+01:00;250;3.1;48.716833,2.384333            
07299;2010-03-01T01:00:00+01:00;260;8.2;47.614333,7.51            
07607;2010-03-01T01:00:00+01:00;90;2.1;43.909833,-0.500167            
61972;2010-03-01T01:00:00+01:00;150;4.1;-22.344167,40.340667            
07027;2010-03-01T04:00:00+01:00;230;2.6;49.18,-0.456167            
07255;2010-03-01T10:00:00+01:00;80;4.1;47.059167,2.359833            
07510;2010-03-01T10:00:00+01:00;160;4.1;44.830667,-0.691333            
07222;2010-03-01T16:00:00+01:00;60;4.6;47.15,-1.608833            
07299;2010-03-01T16:00:00+01:00;280;2.6;47.614333,7.51            
07630;2010-03-01T16:00:00+01:00;310;6.7;43.621,1.378833            
07747;2010-03-01T16:00:00+01:00;310;8.7;42.737167,2.872833            
07790;2010-03-01T16:00:00+01:00;330;3.6;42.540667,9.485167            
07207;2010-03-01T19:00:00+01:00;100;4.1;47.294333,-3.218333            
07280;2010-03-01T19:00:00+01:00;240;1.0;47.267833,5.088333            
07335;2010-03-01T19:00:00+01:00;220;6.2;46.593833,0.314333            
07607;2010-03-01T19:00:00+01:00;280;1.5;43.909833,-0.500167            
07005;2010-03-01T22:00:00+01:00;80;1.5;50.136,1.834            
07207;2010-03-01T22:00:00+01:00;90;5.7;47.294333,-3.218333            
07255;2010-03-01T22:00:00+01:00;200;4.1;47.059167,2.359833            
61976;2010-03-01T22:00:00+01:00;70;7.2;-15.887667,54.520667            
81401;2010-03-01T22:00:00+01:00;;;5.4855,-54.031667            
07790;2010-02-27T22:00:00+01:00;150;1.5;42.540667,9.485167            
61980;2010-02-27T22:00:00+01:00;140;4.1;-20.8925,55.528667            
61976;2010-02-28T01:00:00+01:00;60;6.2;-15.887667,54.520667            
07299;2010-02-28T04:00:00+01:00;140;5.1;47.614333,7.51            
89642;2010-02-28T04:00:00+01:00;160;5.1;-66.663167,140.001            
07510;2010-02-28T07:00:00+01:00;240;10.3;44.830667,-0.691333            
07207;2010-02-28T10:00:00+01:00;290;9.8;47.294333,-3.218333            
07790;2010-02-28T10:00:00+01:00;230;2.1;42.540667,9.485167            
07130;2010-02-28T13:00:00+01:00;280;8.7;48.068833,-1.734            
07240;2010-02-28T16:00:00+01:00;250;10.8;47.4445,0.727333            
07643;2010-02-28T16:00:00+01:00;300;7.2;43.577,3.963167            
07434;2010-02-28T19:00:00+01:00;260;2.6;45.861167,1.175            
07471;2010-02-28T19:00:00+01:00;270;5.7;45.0745,3.764            
61970;2010-02-28T19:00:00+01:00;100;1.0;-17.054667,42.712            
07222;2010-02-23T16:00:00+01:00;230;8.7;47.15,-1.608833            
07661;2010-02-23T16:00:00+01:00;140;6.2;43.079333,5.940833            
07190;2010-02-23T22:00:00+01:00;190;4.6;48.5495,7.640333            
07621;2010-02-23T22:00:00+01:00;80;1.0;43.188,0.0            
07577;2010-02-24T01:00:00+01:00;150;0.5;44.581167,4.733            
07314;2010-02-24T04:00:00+01:00;160;6.7;46.046833,-1.4115            
07481;2010-02-24T04:00:00+01:00;160;3.1;45.7265,5.077833            
61997;2010-02-24T04:00:00+01:00;240;17.0;-46.4325,51.856667            
07027;2010-02-24T07:00:00+01:00;170;3.6;49.18,-0.456167            
07207;2010-02-24T07:00:00+01:00;220;10.8;47.294333,-3.218333            
07510;2010-02-24T07:00:00+01:00;240;6.7;44.830667,-0.691333            
07630;2010-02-24T10:00:00+01:00;300;7.2;43.621,1.378833            
61970;2010-02-24T10:00:00+01:00;80;3.1;-17.054667,42.712            
61997;2010-02-24T10:00:00+01:00;220;20.1;-46.4325,51.856667            
81415;2010-02-24T10:00:00+01:00;;;3.640167,-54.028333            
61972;2010-02-24T13:00:00+01:00;170;5.1;-22.344167,40.340667            
07027;2010-02-24T16:00:00+01:00;170;10.8;49.18,-0.456167            
07181;2010-02-24T16:00:00+01:00;200;5.7;48.581,5.959833            
67005;2010-02-24T16:00:00+01:00;130;4.1;-12.8055,45.282833            
71805;2010-02-24T16:00:00+01:00;20;6.2;46.766333,-56.179167            
07222;2010-02-24T22:00:00+01:00;230;5.7;47.15,-1.608833            
61968;2010-02-24T22:00:00+01:00;70;2.1;-11.582667,47.289667            
07650;2010-02-25T01:00:00+01:00;0;0.0;43.437667,5.216            
81405;2010-02-25T01:00:00+01:00;120;1.5;4.822333,-52.365333            
61997;2010-02-25T04:00:00+01:00;210;7.2;-46.4325,51.856667            
61970;2010-02-25T07:00:00+01:00;240;1.0;-17.054667,42.712            
78897;2010-02-25T07:00:00+01:00;220;0.5;16.264,-61.516333            
07139;2010-02-25T10:00:00+01:00;160;4.1;48.4455,0.110167            
07335;2010-02-25T10:00:00+01:00;170;5.1;46.593833,0.314333            
07471;2010-02-25T10:00:00+01:00;150;6.2;45.0745,3.764            
07130;2010-02-25T13:00:00+01:00;200;9.8;48.068833,-1.734            
78925;2010-02-25T13:00:00+01:00;30;1.5;14.595333,-60.995667            
81408;2010-02-25T13:00:00+01:00;40;1.0;3.890667,-51.804667            
07015;2010-02-25T16:00:00+01:00;160;5.7;50.57,3.0975            
07790;2010-02-25T16:00:00+01:00;30;1.5;42.540667,9.485167            
07117;2010-02-25T19:00:00+01:00;230;6.2;48.825833,-3.473167            
07434;2010-02-25T19:00:00+01:00;230;4.6;45.861167,1.175            
07790;2010-02-25T22:00:00+01:00;250;0.5;42.540667,9.485167            
61972;2010-02-26T01:00:00+01:00;160;2.1;-22.344167,40.340667            
67005;2010-02-26T04:00:00+01:00;0;0.0;-12.8055,45.282833            
67005;2010-02-26T07:00:00+01:00;160;3.1;-12.8055,45.282833            
78897;2010-02-26T07:00:00+01:00;0;0.0;16.264,-61.516333            
07020;2010-02-26T10:00:00+01:00;280;13.9;49.725167,-1.939833            
07535;2010-02-26T10:00:00+01:00;230;3.1;44.745,1.396667            
07027;2010-02-26T13:00:00+01:00;270;12.3;49.18,-0.456167            
07690;2010-02-26T13:00:00+01:00;280;11.8;43.648833,7.209            
71805;2010-02-26T19:00:00+01:00;100;10.8;46.766333,-56.179167            
07577;2010-02-26T22:00:00+01:00;330;2.1;44.581167,4.733            
81408;2010-02-26T22:00:00+01:00;40;2.1;3.890667,-51.804667            
07481;2010-02-27T01:00:00+01:00;160;2.6;45.7265,5.077833            
61997;2010-02-27T04:00:00+01:00;310;15.9;-46.4325,51.856667            
07037;2010-02-27T07:00:00+01:00;170;5.1;49.383,1.181667            
07661;2010-02-27T07:00:00+01:00;30;1.0;43.079333,5.940833            
07130;2010-02-27T10:00:00+01:00;180;7.2;48.068833,-1.734            
07139;2010-02-27T10:00:00+01:00;160;3.1;48.4455,0.110167            
78897;2010-02-27T10:00:00+01:00;0;0.0;16.264,-61.516333            
07015;2010-02-27T16:00:00+01:00;200;7.7;50.57,3.0975            
07460;2010-02-27T19:00:00+01:00;170;8.2;45.786833,3.149333            
67005;2010-02-27T19:00:00+01:00;140;2.1;-12.8055,45.282833            
61980;2010-02-22T13:00:00+01:00;80;3.1;-20.8925,55.528667            
